id_vụ,year,yield_class,stage_1_avg_temp,stage_1_total_precip,stage_1_count_heat_days,stage_1_avg_et0,stage_2_avg_temp,stage_2_total_precip,stage_2_count_heat_days,stage_2_avg_et0,stage_3_avg_temp,stage_3_total_precip,stage_3_count_heat_days,stage_3_avg_et0,stage_4_avg_temp,stage_4_total_precip,stage_4_count_heat_days,stage_4_avg_et0,stage_5_avg_temp,stage_5_total_precip,stage_5_count_heat_days,stage_5_avg_et0
Long An_2015_main_season,2015,Medium,29.50813120887393,63.30000028014183,9,4.988361767360142,27.595166091918944,226.70000183582306,2,3.715977988243103,27.60797233581543,116.00000043213367,0,3.8537604649861654,27.153666305541993,125.5999996215105,0,3.950453186035156,27.04199966430664,214.40000140666962,0,3.800094709396362
Long An_2016_winter_spring,2016,Medium,27.265868686494372,45.000000305473804,0,3.843654677981422,26.779416885375976,26.900000900030136,0,3.8531102561950683,27.556305185953775,1.200000025331974,0,4.204456440607706,28.189916038513182,0.5000000074505805,0,4.750711417198181,27.59750015258789,0.0,0,5.194403285980225
Long An_2016_summer_autumn,2016,Medium,31.01586859566825,14.30000039935112,21,5.983442465464274,29.304249420166016,166.29999916255474,10,4.200382485389709,28.062139002482095,63.50000070780516,0,4.285542949040731,26.855333423614503,162.4000019133091,0,3.392593425512314,26.745749282836915,194.19999933242798,0,3.4998909425735474
Long An_2016_main_season,2016,Low,28.14731725056966,169.7999997884035,3,3.6666616882596696,27.262416381835937,184.50000194460154,0,3.5705721521377565,27.002416356404623,106.80000129342079,0,3.5379148880640665,26.854603385925294,140.89999794960022,0,3.7132058084011077,27.359749526977538,139.90000192075968,0,3.7641286563873293
Long An_2017_winter_spring,2017,Low,26.621821176438104,145.30000323057175,0,3.3173519316173734,25.49474914550781,145.39999682456255,0,2.723766052722931,26.511860783894857,16.800001457333565,0,3.7455145200093587,25.61397819519043,109.90000155568123,0,3.323915058374405,26.396416549682616,20.400000356137753,0,4.556055030822754
Long An_2017_summer_autumn,2017,Low,29.255352928524925,97.70000125467777,5,4.905098211197626,27.719582443237304,209.20000038295984,0,3.5997505521774293,27.63630510965983,119.60000430047512,0,3.723531166712443,27.325436878204346,167.10000264644623,0,3.804239106178284,26.560915756225587,342.30000096559525,0,3.029260778427124
Long An_2017_main_season,2017,Low,27.685907727196103,210.39999923855066,0,3.570011400041126,27.396083450317384,197.0000061839819,0,3.717921733856201,27.07005411783854,155.60000056028366,0,3.5732449690500894,26.55626974105835,272.4000006914139,0,2.989637219905853,26.50941604614258,298.0999958515167,0,3.225042772293091
Long An_2018_winter_spring,2018,Low,26.792952310471307,91.60000037401915,0,3.3264326878956387,25.393581924438475,71.99999472498894,0,3.5781042766571045,25.96005490620931,5.400000132620335,0,3.8956247170766196,25.915228843688965,50.699999414384365,0,3.2977986574172973,26.331666412353517,1.2000000327825546,0,4.849413595199585
Long An_2018_summer_autumn,2018,Medium,29.29027357555571,53.600000500679016,3,4.9886624699547175,28.18958251953125,143.40000140666962,0,4.094427471160889,27.109221776326496,112.30000162124634,0,3.0847336212793985,27.144499206542967,97.2999975681305,0,3.796920692920685,26.880166778564455,191.60000944137573,0,3.218935794830322
Long An_2018_main_season,2018,Low,27.803070794968377,162.10000291466713,0,3.7549691597620645,27.24816604614258,118.39999783039093,0,3.5420070934295653,26.86005554199219,103.80000126361847,0,3.558959627151489,27.054603862762452,137.10000777244568,0,3.4342539072036744,26.626166610717775,274.0999974012375,0,3.207607936859131
